,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Trey Fix-Wolansky,RW,EDM,18.975,129,62,78,41,140,181,0.437,0.737,0.327,1.173,1.5
1,Stelio Mattheos,C,BDN,18.756,121,80,58,35,138,173,0.665,0.485,0.3,1.15,1.445
2,Cody Glass,C,POR,18.958,100,51,79,40,130,170,0.485,0.86,0.4,1.345,1.74
3,Joachim Blichfeld,LW,POR,19.665,114,75,43,40,118,158,0.655,0.375,0.35,1.03,1.38
4,Jordy Bellerive,C,LET,18.874,128,70,47,40,117,157,0.535,0.37,0.315,0.905,1.22
5,Brandon Hagel,LW,RD,19.553,111,51,66,26,117,143,0.46,0.595,0.235,1.055,1.29
6,Noah Gregor,C,MJ/VIC/PA,19.635,113,64,45,32,109,141,0.57,0.405,0.28,0.975,1.255
7,Connor Dewar,C,EVT,18.724,120,73,37,31,110,141,0.615,0.315,0.27,0.935,1.2
8,Dante Hannoun,C,VIC/PA/VIC,19.621,114,52,57,28,109,137,0.47,0.505,0.225,0.975,1.205
9,Cole Fonstad,LW,PA,17.894,130,47,52,36,99,135,0.37,0.395,0.275,0.765,1.04
10,Max Gerlach,RW,MH/SAS/SAS,19.95,123,71,33,30,104,134,0.58,0.27,0.245,0.85,1.09
11,Zack Andrusiak,LW,SEA/EVT/SEA,19.684,126,72,42,20,114,134,0.585,0.33,0.16,0.91,1.07
12,James Hamblin,C,MH,18.888,128,52,45,35,97,132,0.415,0.35,0.275,0.77,1.04
13,Ty Smith,D,SPO,17.978,115,20,53,59,73,132,0.165,0.465,0.54,0.63,1.17
14,Jayden Halbgewachs,C,MJ,20.485,72,70,39,20,109,129,0.97,0.54,0.28,1.51,1.79
15,Tristin Langan,LW,MJ,19.252,124,57,49,23,106,129,0.495,0.415,0.195,0.91,1.105
16,James Malm,C,VAN/VAN/CGY,18.726,124,42,53,30,95,125,0.35,0.42,0.25,0.78,1.025
17,Glenn Gawdin,C,SC,20.477,67,56,37,32,93,125,0.84,0.55,0.48,1.39,1.87
18,Kyle Topping,C,KEL,18.327,124,43,43,39,86,125,0.345,0.35,0.31,0.7,1.005
19,Nolan Volcan,LW,SEA,19.7,118,51,42,29,93,122,0.43,0.35,0.245,0.775,1.025
20,Dylan Cozens,C,LET,17.097,114,50,38,33,88,121,0.44,0.335,0.29,0.775,1.06
21,Calen Addison,D,LET,17.93,124,20,51,48,71,119,0.16,0.41,0.385,0.57,0.96
22,Davis Koch,RW,VAN/EDM/VAN,19.758,124,45,50,24,95,119,0.365,0.405,0.195,0.78,0.97
23,Aleksi Heponiemi,C,SC,18.683,57,28,51,39,79,118,0.49,0.89,0.68,1.39,2.07
24,Parker Kelly,RW/C,PA,18.841,126,58,41,17,99,116,0.465,0.325,0.14,0.785,0.93
25,Leif Mattson,RW,KEL,18.65,121,45,39,32,84,116,0.37,0.32,0.265,0.695,0.96
26,Jaret Anderson-Dolan,C,SPO,18.51,90,49,37,30,86,116,0.51,0.425,0.34,0.935,1.275
27,Riley Woods,LW,SPO,19.726,125,53,43,19,96,115,0.44,0.355,0.15,0.79,0.94
28,Peyton Krebs,LW,KTN,17.136,119,36,46,32,82,114,0.31,0.395,0.275,0.705,0.98
