,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rouyn-Noranda Huskies,57,45,69.11,255,114,141,59.88,2269,1520,749,10.85,0.927,103.59,65.8,201.49,104.7,96.79,8.92,0.931,102.01,43.508,0.578,-5.296,-0.105,93,34,59,73.23,322,173,149,65.05,28.21,0.813,85,32,53,72.65,332,136,196,70.94,25.38,0.77,77,48,29,61.6,1615,1211,404,57.15,4.41,0.961
1,Drummondville Voltigeurs,56,42,66.21,290,148,142,61.69,2134,1325,809,13.14,0.892,102.31,60.94,185.41,118.85,66.57,8.73,0.91,99.73,93.587,1.322,-24.155,-0.549,84,41,43,67.2,288,198,90,59.26,28.67,0.793,80,49,31,62.02,341,203,138,62.68,23.46,0.762,126,58,68,68.48,1505,924,581,61.96,7.82,0.941
2,Halifax Mooseheads,57,41,64.86,251,136,115,54.57,1939,1614,325,12.67,0.919,104.53,55.91,178.81,140.99,37.82,9.25,0.912,100.49,66.19,1.027,9.987,0.186,74,48,26,60.66,311,244,67,56.04,23.3,0.807,73,33,40,68.87,290,200,90,59.18,24.91,0.839,104,55,49,65.41,1338,1170,168,53.35,7.57,0.955
3,Rimouski Oceanic,57,37,62.47,233,140,93,55.92,1870,1474,396,11.89,0.907,102.64,54.77,160.8,132.81,27.99,8.65,0.91,99.62,60.195,0.972,-3.189,-0.065,78,49,29,61.42,284,214,70,57.03,27.21,0.782,54,27,27,66.67,244,189,55,56.35,21.49,0.857,101,64,37,61.21,1342,1071,271,55.62,6.9,0.941
4,Baie-Comeau Drakkar,56,37,61.46,252,158,94,57.25,2001,1494,507,12.33,0.898,102.18,59.72,167.23,112.8,54.43,8.38,0.924,100.8,78.77,1.185,-38.204,-0.771,76,60,16,55.88,267,196,71,57.67,27.38,0.697,69,28,41,71.13,287,157,130,64.64,24.04,0.827,107,70,37,60.45,1447,1141,306,55.91,7.27,0.943
5,Sherbrooke Phoenix,57,33,52.61,222,200,22,54.21,2007,1695,312,10.3,0.886,98.87,51.43,171.63,162.08,9.56,8.62,0.904,99.02,33.367,0.503,-30.922,-0.55,62,69,-7,47.33,236,255,-19,48.07,26.27,0.735,42,31,11,57.53,321,282,39,53.23,12.81,0.89,118,100,18,54.13,1450,1158,292,55.6,7.11,0.918
6,Cape Breton Screaming Eagles,56,29,55.8,207,164,43,56.4,1850,1430,420,10.95,0.892,100.17,57.19,170.77,127.82,42.95,9.26,0.91,100.25,31.225,0.508,-25.175,-0.532,57,50,7,53.27,277,241,36,53.47,20.29,0.803,58,37,21,61.05,254,180,74,58.53,22.53,0.799,92,77,15,54.44,1319,1009,310,56.66,6.76,0.93
7,Moncton Wildcats,57,28,54.68,222,184,38,52.29,1937,1767,170,11.0,0.897,100.74,54.06,193.4,164.38,29.02,10.04,0.907,100.72,18.6,0.29,-16.617,-0.283,78,63,15,55.32,322,258,64,55.52,23.75,0.756,49,52,-3,48.51,263,250,13,51.27,18.63,0.792,95,69,26,57.93,1352,1259,93,51.78,6.47,0.947
8,Chicoutimi Sagueneens,56,27,50.9,169,163,6,48.07,1570,1696,-126,10.36,0.904,100.81,49.77,132.72,133.95,-1.23,8.49,0.921,100.59,29.28,0.562,-28.051,-0.496,68,39,29,63.55,245,173,72,58.61,27.46,0.775,32,50,-18,39.02,190,252,-62,42.99,16.84,0.802,69,74,-5,48.25,1135,1271,-136,47.17,5.58,0.943
9,Charlottetown Islanders,56,27,52.02,193,178,15,53.97,1957,1669,288,9.63,0.896,99.23,52.27,181.4,165.67,15.73,9.29,0.9,99.34,6.596,0.101,-7.33,-0.132,80,76,4,51.28,341,270,71,55.81,23.24,0.721,42,40,2,51.22,295,255,40,53.64,13.95,0.846,71,62,9,53.38,1321,1144,177,53.59,5.16,0.948
10,Quebec Remparts,56,21,45.48,156,187,-31,52.11,1706,1568,138,8.72,0.889,97.64,51.47,134.25,126.56,7.69,7.91,0.919,99.76,13.75,0.243,-45.44,-0.878,41,57,-16,41.84,221,206,15,51.76,17.81,0.734,45,30,15,60.0,247,155,92,61.44,17.89,0.812,70,100,-30,41.18,1238,1207,31,50.63,5.27,0.926
11,Victoriaville Tigres,58,21,44.9,154,189,-35,44.23,1509,1903,-394,9.97,0.905,100.46,40.25,108.17,160.59,-52.43,7.19,0.915,98.71,41.833,0.834,-19.405,-0.307,34,54,-20,38.64,148,260,-112,36.27,22.97,0.795,38,47,-9,44.71,195,263,-68,42.58,19.49,0.824,82,88,-6,48.24,1166,1380,-214,45.8,6.71,0.941
12,Val-d'Or Foreurs,57,20,38.4,154,247,-93,41.68,1631,2282,-651,9.11,0.895,98.64,41.66,123.57,173.05,-49.48,7.6,0.924,99.99,24.433,0.451,-64.952,-0.857,51,78,-27,39.53,203,256,-53,44.23,24.38,0.695,40,76,-36,34.48,158,318,-160,33.19,25.32,0.763,63,93,-30,40.38,1270,1708,-438,42.65,4.66,0.95
